"title","price","address","phoneNumber","noOfBedRooms","noOfBadRooms","imageUrl","description"
"3 bedroom block of flats for sale","₦750000000 ","Agungi, Lekki, Lagos","+2347031138475","3 Bedrooms","3 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2106850/065c0f194bc458-newly-built-6-units-of-3-bedroom-apartment-block-of-flats-for-sale-agungi-lekki-lagos.jpeg","Newly built tastefully finished block of 6 nos flats at agungi, lekki. (free from flooded area)each flat is 3 bedroom + 1 room bq + 1 drivers bedroomtitle: lasg c of oprice: n750m askingprofessional fee: 5% of purchase price, slightly negotiable.features:large all en suite roomswater treatmentstand-by generatorstamped concrete exterior flooringwalk-in shower and cubiclebq + driver's roomcctv24-hour access control securityample parking sp...More details"
"4 bedroom terraced duplex for sale","₦90000000 ","Ajiwe, Ajah, Lagos","+2347031138475","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2255640/06643b6257e88d-newly-built-4-bedroom-terrace-duplex-with-pool-terraced-duplexes-for-sale-ajiwe-ajah-lagos.jpeg","Verifiednewly built 4 bedroom terrace duplex for sale.amenities:- 4 bedroom- fitted kitchen with accessories-swimming pool-children swimming pool-gym- modern day pop ceiling- detailed finishing- wardrobes- cctv- secured estate- serviced estate- water heater- heat extractorlocation: ajiwe, beside royal garden estatepromo price: n90mactual price: n100mcall/whatsapp: 07031138...More details"
"5 bedroom detached duplex for sale","₦980000000 ","Lekki Phase 1, Lekki, Lagos","08103254940","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302435/0666977c809fdd-quintessential-5-bedroom-detached-duplex-with-elevator-pool-cinema-detached-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpg","Quintessential 5 bedroom detached duplex at lekki phase 1 with elevator, swimming pool and a cinema roomlocation: lekki phase 1title: governor's consentprice: n980mfeatures-ensuite rooms - elevator - main lounge - family lounge -gym room- cinema room - sitout cover - automation switches - box room - boy's quarters - aesthetic pop ceilings - spot lighting - chandelier - clean water - sound system - spacious living room - cctv cameras - video door bell security - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 5 parking spaces - gate house - secured estate - good access roads - flood free - swimming pool------------------------------------------------️ ️️️for more inquiries:️: + 234 810 325 4940 (call and whatsapp)️: +2349117522849 (call and whatsa...More details  Added Today"
"3 bedroom block of flats for sale","₦75000000 ","Opic, Isheri North, Lagos","07067722639","3 Bedrooms","3 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302432/0666977a141388-exquisitely-spacious-newly-built-3-bedroom-apartment-plus-bq-block-of-flats-for-sale-opic-isheri-north-lagos.jpeg","For sale opic berger lagos n75millionexquisitely spacious 3 bedroom apartment plus bq with gate house in a well developed and securedenvironment.featuresnewly builtgated environmentfantastic serene environmentspacious living areaall rooms ensuiteinbuilt pop sound systemsbeautiful woodworksgreat ambiancefully fitted kitchenwater heaterspop ceilingbalconyample car parking spacetitle: government allocationfor viewing, inquiries and purchase call ️ or whatsapp +2347067722...More details  Added Today"
"7 bedroom detached duplex for sale","₦450000000 ","Efab Metropolis Estate, Gwarinpa, Abuja","08034480045","7 Bedrooms","7 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1841352/064c3d2108880d-luxury-finished-6-bedroom-fully-detached-duplex-with-2-rooms-bq-detached-duplexes-for-sale-gwarinpa-abuja.jpeg","#repost @abujahouselink.ng------for saleproperty type: carefully architectural design 7 bedroom fully detached duplex penthouse duplex located in a serene and secured estate.location: efab metropolis estate, gwarinpa extension abuja.price: 450 million nairaagency fee: 5%features:6 bedroom duplex2 living rooms2 rooms bqswimming poolgazebo/bush barfully equipped kitchenfitted wardrobesdining sectionchandeliersante roomfamily loungeample parking space for 8 carslighting systemgate housewalk-in closetsmart mirrorbalconyuniform security menserene and secured neighborhood.note: other fully detached duplexes in the estate are:7 bedroom fully detached penthouse duplex 2 rooms bq and swimming pool 300mfor inspection/enquires contact or whatsapp goodluck on: 08034480045. 09048317173.office add: #3 atabara street wuse2, abuja.buy, follow & list ur properties with@houselink.ng@houselink.ng@houselink...More details"
"5 bedroom detached duplex for sale","₦350000000 ","GRA Phase 2, Magodo, Lagos","08171969365","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302395/06669713353f0e-newly-built-5-bedroom-fully-detached-duplex-with-a-bq-detached-duplexes-for-sale-gra-phase-2-magodo-lagos.jpg","Newly built 5 bedroom fully detached duplex with a bqlocation: magodo phase 2, lagosprice : 350mtitle : certificate of occupancyfeatures- all rooms en-suite- guest room- pop ceilings- fitted kitchen- adequate parking space- dining area- balconies- concrete floors- interlocked streets- bq- chandeliers- family lounge- closets- secure estate- water heaters- walk-in closet- walk-in showers- bath tubfor more enquiries, contact stephenwhatsapp: 08171969365phone: 08136522011, 09155232992email: idealplaceprop@gmail....More details  Added Today"
"4 bedroom detached duplex for sale","₦160000000 ","Ajah, Lagos","08117248757","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/noimage.jpg","*outstanding luxurury 4 bedroom fully detached duplex with bq*- astonishing modern appurtenances- modern contemporary architecture- impeccable finishing- ante room- gorgeous lightings- inbuilt audio system- green area- alluring woodwork- family lounge- beautiful fitted kitchen- stairway lights- all rooms en-suite- boy's quarters- great neighbourhood*location:*ajah, lekki*price:* n1...More details  Added Today"
"4 bedroom detached duplex for sale","₦230000000 ","Omole Phase 2, Ikeja, Lagos","08023783654","4 Bedrooms","5 Toilets","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302390/06669712d0e681-luxury-4-bedroom-fully-detached-duplex-with-a-bq-in-omole-extension-detached-duplexes-for-sale-omole-phase-2-ikeja-lagos.jpeg","More details  Added Today"
"4 bedroom detached duplex for sale","₦180000000 ","Ajah, Lagos","08103254940","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302388/06669708ec7e44-plushly-finished-4-bedroom-fully-detached-home-with-bq-in-a-well-secur-detached-duplexes-for-sale-ajah-lagos.jpg","Plushly finished 4 bedroom fully detached home with bq in a well secured estate.location: ajah, lekkititle: governor's consentprice: n180mfeatures-ensuite rooms - family lounge - open terrace - automation switches - box room aesthetic pop ceilings - spot lighting - chandelier - clean water - sound system - spacious living room - cctv cameras - video door bell security - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 3 parking spaces - gate house - secured estate - good access roads - flood free.------------------------------------------------️ ️️️for more inquiries:️: + 234 810 325 4940 (call and whatsapp)️: +2349117522849 (call and whatsa...More details  Added Today"
"4 bedroom detached duplex for sale","$4000000 approx. ₦6020001224","Banana Island, Ikoyi, Lagos","07026890337","4 Bedrooms","6 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302385/0666970200df67-5-bedroom-furnished-fully-detached-duplex-detached-duplexes-for-sale-banana-island-ikoyi-lagos.jpeg","Contemporary 5 bedroom furnished fully detached duplex for salelocation: banana island ikoyi lagosprice: $4mamenities:- fitted kitchen with accessories- modern day pop ceiling- detailed finishing- wardrobes- luxury finishing- jacuzzi- cctv- automated light- water heater- heat extractor- secure estate- bq- 2 swimming pool- roof top terrace- cinema- gym- sauna⁠call 07026890337 for inquiries or further details: jaycelineproperties@gmail.com or simply send us a ...More details  Added Today"
"3 bedroom terraced duplex for sale","₦50000000 ","Abraham Adesanya, Lekki, Lagos","07050598295","3 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2244697/0663b82f309567-fully-serviced-3bedrms-terrace-duplex-50m-ajah-terraced-duplexes-for-sale-lekki-lagos.jpeg","This property is a fully serviced estate coming with 24 hours electricity plus good water supply.,with 10m naira initial deposit... you can secure any of this unit5bed fully detached with bq 100m4bed semi detached duplex 90m(luxury)4bed semi detached duplex 77m(deluxe)4bed semi detached duplex 72m (standard)4bed terrace duplex (65)corner piece 60m(middle unit)3bed terrace duplex 50m3bed apartment (40m)1 bed apartment (27m)location: abraham adesanya lekki, lagos.features:- modern contemporary architecture- decently finished to detail- fully fitted kitchen- family lounge- spacious living areas- gorgeous lightings- all rooms ensuite- inbuilt audio system- 24 hours power- 24 hours security- green area- beautifully fitted wardrobes- top quality sanitary wares- great neighbourhoodtitle: governor's consent/ building approval*contact williamsphone call: 07050598295. / 08131121...More details"
"4 bedroom detached duplex for sale","₦350000000 ","Secured And Serene Area, Adeniyi Jones, Ikeja, Lagos","08029763540","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302382/066697010b5a61-newly-built-and-partly-furnished-4-bedroom-duplex-with-bq-detached-duplexes-for-sale-adeniyi-jones-ikeja-lagos.jpg","For sale*description: a partly 4 bedroom luxurious newly built detached duplex with a room bq located in a secured and serene location off adeniyi jones, ikejafeatures and facilities;*top-notch and tastefully finished *10kva solar power plus inverter*external jacuzzi spa, *well lit, sensor controlled light etal**title:c of o*available furniture and equipment:1. all airconditioners (panasonics) 10 units2. ⁠refrigerators3. curtains4. external jacuzzi spa5. ⁠10kva solar inverter6. ⁠inverter batteries etal7. fitted & equipped kitchen8. water treatment plant9. sit out corner with chairs and table10. security house11. motorized remote controlled gate12. fittings and others13. ⁠⁠3 units televisions...price-n350magency fee of 5% appliescontact toplift realtors on 08029763540 or 07046057...More details  Added Today"
"3 bedroom detached duplex for sale","₦230000000 ","GRA Phase 2, Magodo, Lagos","08171969365","3 Bedrooms","3 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302381/06669702166383-excellently-built-3-bedroom-detached-duplex-detached-duplexes-for-sale-ogorimagongo-kogi.jpg","Excellently built 3 bedroom detached duplexlocation: magodo gra phase 2 , lagosprice: 230mtitle: certificate of occupancyfeatures:- new- all rooms ensuite- pop ceilings- fitted kitchen- chandeliers- dining area- family lounge- balconies- secure estate- water heaters- water closets- walk-in closet- walk-in showers- bath tubfor more enquiries, contact stephenwhatsapp: 08171969365phone: 08136522011, 09155232992email: idealplaceprop@gmail....More details  Added Today"
"4 bedroom detached duplex for sale","₦230000000 ","Ikate, Lekki, Lagos","08103254940","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302378/066696f86b0f4b-exquisitely-designed-4-bedroom-fully-detached-duplex-with-bq-in-an-est-detached-duplexes-for-sale-ikate-lekki-lagos.jpg","Exquisitely designed 4 bedroom fully detached duplex with bq in a secured estate.location: ikate, lekkititle: governor's consentprice: n230mfeatures--ensuite rooms - aesthetic pop ceilings - spot lighting - chandelier - sound system - spacious living room - cctv cameras - clean water - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 4 parking spaces - gate house - secured estate - good access roads - flood free -bq------------------------------------------------️ ️️️for more inquiries:️: + 234 810 325 4940 (call and whatsapp)️: +2349117522849 (call and whatsa...More details  Added Today"
"3 bedroom block of flats for sale","₦350000000 ","Adetola, Aguda, Surulere, Lagos","08099458033","3 Bedrooms","3 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2299444/066674d949f7b0-a-3-storey-building-with-8-flats-block-of-flats-for-sale-aguda-surulere-lagos.jpg","3 storey building8 flats3 bedroom3 bathrooms4 toiletspopfloor tilesprepaid metersclean waterample parking spacegood access roadtitle: c...More details"
"4 bedroom detached duplex for sale","₦180000000 ","Kayode Alabi Street, Off Haruna Adeyeri Estate, Ogba, Ikeja, Lagos","08177211419","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2175098/065fec447ada34-ellas-court-ogba-detached-duplexes-for-sale-ogba-ikeja-lagos.jpeg","Ella's court ogba are 2 units of fully detached smart 4 bedroom all rooms ensuite duplex with boys quarter,study cctv,automated gate, access control door,smart sound system, 5kva solar inverter and gatehouse on kayode alabi street ogbanew-contemporary-all rooms ensuite-pop ceilings-fully fitted kitchen-spacious compound-family lounge-spacious rooms-water heater-closet-stylish luxurious security door-sufficient car parking & sit out-walk in shower-balconies-bq 1 for maid-24 hours security-secure environment-solar panel inverter-automated gate-access control door-installation wifi-installation cctv-installation ac pipes-installation of dstv cable-title - cofo/approved building plannb: off plan property price is subjected to changebrokerage commission: to be discus...More details"
"4 bedroom detached duplex for sale","₦120000000 ","_experience The Ultimate In Comfort And Luxury!_, Gbagada, Lagos","08058965822","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302375/066696f43c109b-exquisitely-newly-built-4-bedroom-fully-detached-duplex-with-bq-detached-duplexes-for-sale-gbagada-lagos.jpg","_luxury living at its finest!__gbagada - n120million__exquisitely newly built 4 bedroom fully detached duplex with bq in a secured estate__experience the ultimate in comfort and luxury!_features:- newly built property with modern finishes- gated estate with top-notch security- fantastic serene environment perfect for relaxation- spacious living area ideal for entertaining- all rooms en-suite for maximum privacy- inbuilt pop sound systems for a premium experience- beautiful woodworks and finishes- great ambiance with plenty of natural light- fully fitted kitchen with modern appliances- stunning chandeliers and lighting fixtures- balcony with a scenic view- bq for additional living space- clean water supply and ample car parking space- water heaters for convenience- pop ceiling for a sleek finish_title:_ global c of o, registered deed and survey_don't miss out on this incredible opportunity! contact us today to schedule a viewin...More details  Added Today"
"2 bedroom terraced duplex for sale","₦57000000 ","Ikota, Lekki, Lagos","08103254940","2 Bedrooms","2 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302373/066696eb59ae4c-lovely-cornerpiece-2-bedroom-terraced-duplex-within-a-secured-estate-terraced-duplexes-for-sale-ikota-lekki-lagos.jpg","Lovely 2 bedroom terraced duplex within a secured estate.location: ikota, lekkiprice for 2 bed: n57m (corner piece)featuresensuite rooms - family lounge - aesthetic pop ceilings - spot lighting - chandelier - clean water - sound system - spacious living room - cctv cameras - video door bell security - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 2 parking spaces - gate house - secured estate - good access roads - flood free------------------------------------------------️ ️️️for more inquiries:️: + 234 810 325 4940 (call and whatsapp)️: +2349117522849 (call and whatsa...More details  Added Today"
"4 bedroom semi-detached duplex for sale","₦180000000 ","Magodo Gra Phase 1, Lagos - N180million (asking), GRA Phase 1, Magodo, Lagos","08058965822","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302363/066696de644200-exquisitely-modern-4-bedroom-semi-detached-duplex-with-study-roombq-semi-detached-duplexes-for-sale-gra-phase-1-magodo-lagos.jpg","Luxury living at its finest!magodo gra phase 1, lagos - n180million (asking)exquisitely modern 4 bedroom semi detached duplex with study room and bq in a secured estateexperience the epitome of comfort and style!features:- brand new property- gated estate with top-notch security- spacious living area perfect for entertaining- all rooms en-suite for maximum privacy- inbuilt pop sound systems for a premium experience- beautiful woodworks and finishes- great ambiance with plenty of natural light- fully fitted kitchen with modern appliances- stunning chandeliers and lighting fixtures- clean water supply and ample car parking space- water heaters for convenience- pop ceiling for a sleek finishtitle: deed and survey, global cofodon't miss out on this incredible opportunity! contact us today to schedule a viewi...More details  Added Today"
"5 bedroom detached duplex for sale","₦850000000 ","Vintage Park Estate, Lekki, Lagos","08033389765","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302362/066696dbeec7d7-super-luxury-5-bedroom-house-with-2-swimming-pools-on-a-full-plot-detached-duplexes-for-sale-lekki-lagos.jpg","Super luxury 5 bedroom fully detached house with 2 swimming pools on a full plot of land.featureslarge sitting roomlarge fitted kitchenlarge master bedroomfamily loungeante roomall rooms ensuitespacious compoundswimming pooletc.price: n850mlocation: vintage park estate, lekkicall to schedule a physical inspectionhotlines:0708806544908033009049take advantage of this offer tod...More details  Added Today"
"Block of flats for sale","₦500000000 ","Valley View Estate, Santos, Dopemu, Agege, Lagos","08186005852","2,850 sqm Total Area","Save","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302351/066696bfebd480-8-units-of-4-bedrm-flat-2-units-of-3-bedrm-duplx-and-halls-block-of-flats-for-sale-dopemu-agege-lagos.jpg","' *_corporate guest house_**_with recreational halls_**_8 units of 4 bedroom duplexes_**_massive recreational open space_**_@ valley view estate, dopemu_*_a residential cum commercial development with the following accomodational details:-_*_√ block of 8 unit 4 bedroom apartments (all rooms ensuite)_**_√ 2 unit of 3 bedroom duplexes_**_√ a block of 2 floors recreational halls of about 300 capacity each floor_*_*location:-* valley view estate, santos dopemu, lagos_*_note:-_*_location can be accessed via cement bus stop ikeja & mm local airport__*land size:-* 2,850 sqm__*price:-* n500m only__*title:-* c of o_*_vacant possession_*.stlka...More details  Added Today"
"2 bedroom block of flats for sale","₦69900000 ","Lekki Phase 2, Lekki, Lagos","+2347046474687","2 Bedrooms","2 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302347/066696b40a71e2-luxury-fully-furnished-2bedroom-apartment-with-a-beach-view-block-of-flats-for-sale-lekki-phase-2-lekki-lagos.jpg","Laguna beach apartments, ajahsite updatelaguna beach front apartment on the horizon, and it's moving fast.️work is seriously in progress and we are much on course and working tirelessly in laguna beach apartments2 bedroom apartment- n69.9mlocation: laguna beach club, lekki scheme ii, okun ajah.with an initial deposit of n15m for a studio and a one bedroom apartment with a 3months flexible payment plan, you have began your real estate journey with laguna beach apartments.send us a dm :- 07046474...More details  Added Today"
"5 bedroom detached duplex for sale","$2500000 approx. ₦3762500765","Pinnock Beach Estate, Osapa, Lekki, Lagos","08025286152","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302344/066696ab1028f1-luxury-waterfront-mansion-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg","5 bedroom luxury fully detached duplexpinnock beach estateland size: 1000sqmprice: $2.5mfeatures:waterfrontfully automatedwaterfront with garden areaswimming poolelevatorcinemagymdry and wet kitchenssea view terracefully fitted kitchenwalking closetlaundry roomautomated gatesecurity room2 spacious...More details  Added Today"
"4 bedroom terraced duplex for sale","₦190000000 ","In A Secured Estate, GRA Phase 1, Magodo, Lagos","09038466756","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302341/066696a3ac1ee4-panoramic-newly-built-4-bedroom-terrace-duplex-with-a-bq-terraced-duplexes-for-sale-gra-phase-1-magodo-lagos.jpeg","For sale magodo phase 1 n190millionpanoramic newly built 4 bedroom terrace duplex with a bq, study room & a rooftop in a secured estate.featuresbrand newgated estatemodern architecturefantastic serene environmentstudy areaspacious living areajacuzziall rooms ensuitinbuilt pop sound systemsbeautiful woodworksgreat ambiancefully fitted kitchenbeautiful chandeliersbalconyclean waterample car parking spacewater heaterspop ceilingroofttopfamily lounge.title: deed and survey, global c...More details  Added Today"
"5 bedroom detached duplex for sale","$1300000 approx. ₦1956500398","Pinnock Beach Estate, Osapa, Lekki, Lagos","08025286152","5 Bedrooms","Save","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302339/0666969cf541d7-luxury-5-bedroom-detached-duplex-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg","5 bedroom luxury fully detached duplexpinnock beach estateland size: 1000sqmprice: $1.3mfeatures:fully automatedswimming poolelevatorcinemagymdry and wet kitchenssea view terracefully fitted kitchenwalking closetlaundry roomautomated gatesecurity room2 spacious...More details  Added Today"
"4 bedroom terraced duplex for sale","₦45000000 ","Life Camp, Abuja","08035026480","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2100771/065bb486a6c996-luxurious-34-bedroom-terrace-duplex-terraced-duplexes-for-sale-life-camp-abuja.jpg","Individual mortgage / outright pay subscribers.....dear individual mortgage and outright pay subscribers wouldn't you love to own/invest in a home at a well organised estate?simply make a 50% initial deposit and spread the balance within 6months....or pay outrightly and get a massive discount.available house types;.4 massive bedroom +2 living rooms terraced duplex costs 45mil naira onlylocation - life camp phase 2, abuja...proximity to life camp round about....10minswe are serviced with;automated main entrance23.9 electricity supplycentral sewage systemarmed security personnel patrolcentral bore holeper unit fencingisland kitchen designcontact us at waterfalls realty....website:www.waterfallsrealty.com.ngcall/watsapp-09134681537,08053162219email-info@waterfallsrealty.com.ngfollow/like us on our instagram/facebook... watergrovegroup/ waterfalls realty homes.do not miss out on this once in a life time opportunity.....More details"
"4 bedroom detached duplex for sale","₦110000000 ","Ologolo, Lekki, Lagos","08060629976","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302337/066696cce00b50-luxury-4-bedrooms-detached-duplex-detached-duplexes-for-sale-lekki-lagos.jpg","Nice 4 bedrooms detached duplex.amenities:- [ ] fitted kitchen- [ ] pop ceiling- [ ] fully detached duplex- [ ] wardrobes- [ ] jacuzzi- [ ] high ceiling- [ ] water heater- [ ] heat extractor- [ ] ample parking space- [ ] front -v...More details  Added Today"
"4 bedroom detached duplex for sale","₦80000000 ","Thomas Estate, Ajah, Lagos","+2349053172826","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1927807/066479666e9e8e-luxury-4-bedroom-detached-duplex-with-bq-and-gatehouse-detached-duplexes-for-sale-ajah-lagos.jpg","1. secured estate2. call-in access3. serene environment4. well detailed5. water treatment6. gatehouse7. b.q8. fully detached.9. well detailed.call - 08039364...More details"
"4 bedroom semi-detached duplex for sale","₦85000000 ","In A Secured Estate, Ikota, Lekki, Lagos","09038466756","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302329/06669691464f4b-most-affordable-4-bedroom-semi-detached-duplex-semi-detached-duplexes-for-sale-ikota-lekki-lagos.jpeg","Most affordable 4 bedroom semi detached duplex in a secured estate.location: ikota, lekkiprice: n85mfeatures--ensuite rooms - aesthetic pop ceilings - spot lighting - chandelier -soundsystem -spacious living room - cctv cameras - clean water - top quality tiles- pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 2 parking spaces - gate house - secured estate good access roads - flood freetitle: governor's cons...More details  Added Today"
"4 bedroom terraced duplex for sale","₦240000000 ","GRA, Ogudu, Lagos","+2348179005534","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2282824/0665990c64ee76-ravishing-luxury-4-bedroom-terrace-duplex-terraced-duplexes-for-sale-gra-ogudu-lagos.jpg","4 bed ogudu n240mluxury 4 bedroomterrace duplex at ogudu.location: ogudu, gra.price: n240mfeatures-ensuite rooms - fitted kitchens - main lounge - family lounge - sitout cover - bar - automation switches - aesthetic pop ceilings - open floor terrace - spot lighting - chandelier - clean water - sound system - spacious living room - cctv cameras - video doorbell security - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 3 parking spaces - gate house - secured estate - good access roads - flood free.title: governor's cons...More details"
"4 bedroom semi-detached duplex for sale","₦110000000 ","Ajah, Lagos","08117248757","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302322/0666967a05167d-4-bedroom-semidetached-duplex-with-bq-semi-detached-duplexes-for-sale-ajah-lagos.jpg","*pretty decent 4 bedroom semi detached duplex with bq*- beautifully finished to detail- modern contemporary architecture- astonishing woodwork- green area- family lounge- fully equipped kitchen- dining area- integrated audio system- gorgeous lightings- beautifully crafted fitted wardrobes- luxury sanitary wares- secure gated estate- great neighbourhood*location:*ajah, lekki*price:* n1...More details  Added Today"
"4 bedroom detached duplex for sale","₦200000000 ","Ilupeju, Lagos","09086641547","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/noimage.jpg","A fully detached 4 bedroom duplex sitting on 600sqm with a good title ( c of o) located in a serene neighborhood in ilupeju is available for sale.asking price is 200m naira.video available on reque...More details  Added Today"
"4 bedroom detached duplex for sale","₦115000000 ","In An Exclusive Mini Estate In Ajah, Lekki, Lagos","07088967399","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302317/0666966b866d5e-massive-spacious-4-bedroom-detached-home-with-a-pool-and-a-bq-detached-duplexes-for-sale-lekki-lagos.jpeg","Please call/ whatsapp marketbooy: 08075000582for sale ajah lekki lagos n120milliongreat value beautiful 4bed 4bath3cars fully detached duplex and with pool and bqfeaturesbrand newgated estatespacious living areaall rooms ensuitbeautiful woodworksgorgeous lightingsgreat ambiancefully fitted kitchenbeautiful chandeliersclean waterluxury astonishing sanitary wearsample car parking spacewater heatersfantastic neighborh...More details  Added Today"
"5 bedroom detached duplex for sale","₦650000000 ","Osapa, Lekki, Lagos","08117248757","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302313/06669661de0327-5-bedroom-fully-detached-duplex-with-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpg","* superbly built 5 bedroom fully detached home with elevator, swimming pool, cinema, and open terrace*- decently finished to detail- smart home- 24 hours security- sit out area- ample parking- modern contemporary architecture- green area- rooftop terrace- 3 living rooms- elevator- cinema- family lounge- gorgeous lightings- fully fitted kitchen- integrated audio system- astonishing woodwork- double volume masters room- spacious living areas- boy's quarters- cctv surveillance- great neighbourhood*location:*osapa, lekki*price:* n6...More details  Added Today"
"4 bedroom detached duplex for sale","₦240000000 ","Omole Phase 2 Extension, Omole Phase 2, Ikeja, Lagos","07071812362","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302311/0666966098e269-magnificent-newly-built-4-bedroom-detached-duplex-with-a-room-bq-detached-duplexes-for-sale-ikeja-lagos.jpg","For sale omole phase 2 extension n240m (asking)magnificent newly built 4-bedroom detached duplex with a room bq in a secure estatefeatures:- newly built: contemporary design and modern construction.- gated estate: ensuring top-notch security and privacy.- smart lock: advanced security technology.- serene environment: peaceful and tranquil surroundings.- spacious living area: ample space for comfortable living.- all rooms en-suite: private bathrooms for each bedroom.- integrated pop sound systems: high-quality built-in sound system.- beautiful woodwork: exquisite and detailed wooden finishes.- great ambiance: warm and inviting atmosphere throughout.- fully fitted kitchen: modern kitchen with top-of-the-line appliances.- beautiful chandeliers: elegant and stylish lighting fixtures.- balcony: private outdoor space for relaxation.- laundry room: dedicated space for laundry needs.- bq (boys' quarters): additional living space for staff or guests.- garage: secure parking.- clean water supply: reliable and safe water.- ample parking space: plenty of room for vehicles.- water heaters: ensuring hot water availability.- pop ceiling: premium ceiling design for a polished look.title: registered deed and surveyexperience luxurious living in the prestigious omole phase 2 extension with this stunning property. don't miss the chance to own a beautiful home in a prime location!for enquiries, inspection and purchasecall or whatsapp +2347071812...More details  Added Today"
"5 bedroom detached duplex for sale","₦650000000 ","Royal Garden Estate, Ajah, Lagos","08060629976","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302307/066696686ca710-luxury-5-bedrooms-detached-duplex-with-cinema-swimming-pool-bq-detached-duplexes-for-sale-ajah-lagos.jpg","*luxury 5 bedrooms detached duplex with cinema, swimming pool and bq*features:24 hrs power24 hrs security patrolstudy roomdrinkable watermaster with walk-in closetquality fittingsreal wooden floor6 & half bathsmart housepenthousespacious family loungedetailed finishingall the roads in the estate are well tared, clean and electricifybqcentral music speakersoutdoor loungesinbuilt sound systemconcrete stampingmodern contemporary des...More details  Added Today"
